term,definition,source,page
Samabhavana,Feeling of equality.,Glossary_Sanskrit_Terms.pdf,107
Samadhana,Equal fixing; proper concentration.,Glossary_Sanskrit_Terms.pdf,107
Samadhi,"The state of superconsciousness where Absoluteness is experienced attended with all-knowledge and joy; Oneness; here the mind becomes identified with the object of meditation; the meditator and the meditated, thinker and thought become one in perfect absorption of the mind.",Glossary_Sanskrit_Terms.pdf,108
Samadrishti,Equal vision.,Glossary_Sanskrit_Terms.pdf,108
Samana,"One of the five Pranas or vital airs of the human body, that does the function of digestion.",Glossary_Sanskrit_Terms.pdf,108
Samanadhikarana,"Co-ordination; the relation of abiding in a common substratum—Brahman; the ether in the pot and the ether in the cloud have a common substratum, viz., the universal ether, where only the limiting adjuncts differ.",Glossary_Sanskrit_Terms.pdf,108
Sainanvaya,Unification; the agreement of all Upanishads in proving the Highest Reality.,Glossary_Sanskrit_Terms.pdf,108
Samanya,Common; ordinary; having common characteristics or common nature.,Glossary_Sanskrit_Terms.pdf,108
Samanyaguna,General quality; common nature or characteristic.,Glossary_Sanskrit_Terms.pdf,108
Samanyavastha,Undifferentiated condition; unmanifested state.,Glossary_Sanskrit_Terms.pdf,108
Samanyavijnana,Pure consciousness; homogeneous intelligence; Kutastha; Brahman.,Glossary_Sanskrit_Terms.pdf,108
Samarasattva,"A term which is ordinarily applied to sexual union, but used symbolically to the union of Kundalini Sakti with Siva in the head; merging of ‘becoming’ into ‘Being’.",Glossary_Sanskrit_Terms.pdf,108
Samashti,"An integrated whole of the same class of entity, e.g., Samashti-buddhi (cosmic intelligence).",Glossary_Sanskrit_Terms.pdf,108
Samata,Balanced state of mind.,Glossary_Sanskrit_Terms.pdf,108
Samatva,"Equanimity (under all conditions); equanimity of outlook (making no distinction between friend and foe, pleasure and pain, etc.)",Glossary_Sanskrit_Terms.pdf,109
Samavaya,Combination; union; conjunction; constant and inseparable connection or inherence; existence of one thing in another.,Glossary_Sanskrit_Terms.pdf,109
Samavayakarana,Concomitant cause.,Glossary_Sanskrit_Terms.pdf,109
Sambandha,Relationship; connection.,Glossary_Sanskrit_Terms.pdf,109
Sambhavimudra,The vacant externalised gaze of a Hatha Yogi where the mind is directed inwards; the Yogi appears to be looking at external objects but is not actually perceiving them as his mind is indrawn.,Glossary_Sanskrit_Terms.pdf,109
Sambhuti,Birth; origin; production.,Glossary_Sanskrit_Terms.pdf,109
Samhara,Destruction.,Glossary_Sanskrit_Terms.pdf,109
Samhita,"Collection; one of the two primary sections of each of the Vedas, containing hymns and sacred formulae, the other section being the Brahmanas.",Glossary_Sanskrit_Terms.pdf,109
Samipya,Being near God.,Glossary_Sanskrit_Terms.pdf,109
Samit,Sacrificial fuel.,Glossary_Sanskrit_Terms.pdf,109
Samjnana,Consciousness; intelligence.,Glossary_Sanskrit_Terms.pdf,109
Sampat,Perfection; wealth; virtue.,Glossary_Sanskrit_Terms.pdf,109
Sampatti,Same as Sampat.,Glossary_Sanskrit_Terms.pdf,109
Sampradaya,Sect; custom; conventional procedure or course of action.,Glossary_Sanskrit_Terms.pdf,109
Samprajnata-samadhi,"Cognitive trance; state of superconsciousness, with the triad of meditator, meditation and the meditated; Savikalpa-samadhi.",Glossary_Sanskrit_Terms.pdf,109
Samprasada,Peace; serenity; calmness; tranquillity.,Glossary_Sanskrit_Terms.pdf,109
Samprayoga,Contact of the senses with the objects.,Glossary_Sanskrit_Terms.pdf,109
Samsara,Life through repeated births and deaths; the,Glossary_Sanskrit_Terms.pdf,109
Samsarachakra,The wheel of birth and death.,Glossary_Sanskrit_Terms.pdf,110
Samsari,The transmigrating soul.,Glossary_Sanskrit_Terms.pdf,110
Samsaya,Doubt; suspicion.,Glossary_Sanskrit_Terms.pdf,110
Samsaya-bhavana,Feeling of doubt or suspicion.,Glossary_Sanskrit_Terms.pdf,110
Samslesha,Mutual embrace; intimate connection.,Glossary_Sanskrit_Terms.pdf,110
Samskara,Impression; ceremonial purification; prenatal tendency.,Glossary_Sanskrit_Terms.pdf,110
Samskara-skandha,The group of old impressions.,Glossary_Sanskrit_Terms.pdf,110
Samvriti,World-process; same as Samsara.,Glossary_Sanskrit_Terms.pdf,110
Samuccayavada,The doctrine that Karma and Jnana are both necessary for Self-realisation.,Glossary_Sanskrit_Terms.pdf,110
Samvara,A Buddhistic religious observance; restraint.,Glossary_Sanskrit_Terms.pdf,110
Samvit,Knowledge; consciousness; intelligence.,Glossary_Sanskrit_Terms.pdf,110
Samvriti,Relative truth; covering; concealment; suppression.,Glossary_Sanskrit_Terms.pdf,110
Samyagdarsana,Proper perception; equal vision; highest Advaitic realisation; complete intimation; perfect knowledge.,Glossary_Sanskrit_Terms.pdf,110
Samyama,"Perfect restraint; an all-complete condition of balance and repose, concentration, meditation and Samadhi.",Glossary_Sanskrit_Terms.pdf,110
Samyavastha,State of equilibrium; harmony of the three Gunas; the state of the unmanifested being.,Glossary_Sanskrit_Terms.pdf,110
Samyoga-sambandha,"Relation by contact, e.g., the stick and the drum.",Glossary_Sanskrit_Terms.pdf,110
Samyukta,United; combined.,Glossary_Sanskrit_Terms.pdf,110
Sananda,With bliss (a kind of Samadhi).,Glossary_Sanskrit_Terms.pdf,110
Sanatana,Eternal; everlasting.,Glossary_Sanskrit_Terms.pdf,110
Sanatana-dharma,Eternal Religion.,Glossary_Sanskrit_Terms.pdf,110
Sancharana,Movement.,Glossary_Sanskrit_Terms.pdf,111
Sanchitakarma,"The sum-total of all actions done by the Jiva during countless previous births, out of which a portion is allotted for every new birth.",Glossary_Sanskrit_Terms.pdf,111
Sandhyavandana,"A religious ablution and prayer among the twice-born of the Hindus performed in the morning, noon and evening.",Glossary_Sanskrit_Terms.pdf,111
Sandilya-vidya,The process of meditation on Brahman as the ideal effulgent indwelling spirit in its all-pervading aspect.,Glossary_Sanskrit_Terms.pdf,111
Sanga,Attachment; company.,Glossary_Sanskrit_Terms.pdf,111
Sanga-tyaga,Renunciation of company or association.,Glossary_Sanskrit_Terms.pdf,111
Sangraha,Collection.,Glossary_Sanskrit_Terms.pdf,111
Sangraha-buddhi,The intellect that wants to accumulate and possess.,Glossary_Sanskrit_Terms.pdf,111
Sankalpa,"Thought, desire; imagination.",Glossary_Sanskrit_Terms.pdf,111
Sankalpamatra,Mere thought; existing in thought only.,Glossary_Sanskrit_Terms.pdf,111
Sankalparahita,Without thought; without idea.,Glossary_Sanskrit_Terms.pdf,111
Sankalpasunya,Devoid of thought.,Glossary_Sanskrit_Terms.pdf,111
Sankalpavikalpa,Thought and doubt.,Glossary_Sanskrit_Terms.pdf,111
Sankhya,A system of philosophy propounded by Kapila.,Glossary_Sanskrit_Terms.pdf,111
Sankocha,Contraction; involution; hesitation.,Glossary_Sanskrit_Terms.pdf,111
Sanmatra,Mere existence; mere Being; only That which is; mere Be-ness.,Glossary_Sanskrit_Terms.pdf,111
Sannyasa,"Renunciation of social ties; the last stage of Hindu life, viz., the stage of spiritual meditation.Santa: Peaceful; calm; tranquil.",Glossary_Sanskrit_Terms.pdf,111
Santirupa,Of the form of peace.,Glossary_Sanskrit_Terms.pdf,111
Santosha,Contentment; joy; happiness.,Glossary_Sanskrit_Terms.pdf,111
Sannyasi (or Sannyasin),A monk; one who has embraced,Glossary_Sanskrit_Terms.pdf,111
Sarana,Refuge.,Glossary_Sanskrit_Terms.pdf,112
Saranagati,Self-surrender; coming under refuge.,Glossary_Sanskrit_Terms.pdf,112
Saranagati-yoga,Yoga of self-surrender; Bhakti Yoga.,Glossary_Sanskrit_Terms.pdf,112
Sarira,Body.,Glossary_Sanskrit_Terms.pdf,112
Sarpadevajanavidya,The science of snake-charming and fire arts.,Glossary_Sanskrit_Terms.pdf,112
Sarupya,Having the same form as God.,Glossary_Sanskrit_Terms.pdf,112
Sarva,All; everything.,Glossary_Sanskrit_Terms.pdf,112
Sarvabhokta,All-enjoyer; an epithet of the Supreme Lord.,Glossary_Sanskrit_Terms.pdf,112
Sarvabhutantaratma,The Inner Self of all beings.,Glossary_Sanskrit_Terms.pdf,112
Sarvadesika,Pertaining to all places; present everywhere.,Glossary_Sanskrit_Terms.pdf,112
Sarva-duhkha-nivritti,Removal of all pains.,Glossary_Sanskrit_Terms.pdf,112
Sarvagata,Present in all (things); omnipresent.,Glossary_Sanskrit_Terms.pdf,112
Sarva-himsa-vinirmukha,Against injury of all kinds.,Glossary_Sanskrit_Terms.pdf,112
Sarvajna,Omniscient; knowing everything.,Glossary_Sanskrit_Terms.pdf,112
Sarva-kalyana,All auspicious qualities.,Glossary_Sanskrit_Terms.pdf,112
Sarva-karana,"Cause of everything; causality of creation, preservation and destruction.",Glossary_Sanskrit_Terms.pdf,112
Sarva-karana-karana,The cause of all other causes.,Glossary_Sanskrit_Terms.pdf,112
Sarva-karta,All-doer; doer of everything.,Glossary_Sanskrit_Terms.pdf,112
Sarvangasana,Pan-psychical pose of the Hathayogin; it influences the thyroid gland and through it the whole body and its functions.,Glossary_Sanskrit_Terms.pdf,112
Sarvaniyantratma,The Inner Soul that controls everything.,Glossary_Sanskrit_Terms.pdf,112
Sarvantaryami,The Inner Ruler of everything.,Glossary_Sanskrit_Terms.pdf,112
Sarvapindavyapi,He who permeates all bodies and also who permeates the entire body.,Glossary_Sanskrit_Terms.pdf,112
Sarva-prani-hite-ratah,Ever rejoicing in the good of all beings.,Glossary_Sanskrit_Terms.pdf,113
Sarva-sakshi,Witness of everything.,Glossary_Sanskrit_Terms.pdf,113
Sarva-sakti-samanvita,With all powers; omnipotent.,Glossary_Sanskrit_Terms.pdf,113
Sarva-sankalpa-rahitah,Devoid of all thoughts or resolves.,Glossary_Sanskrit_Terms.pdf,113
Sarva-sastrartha-vetta,Knower of the meaning of all scriptures.,Glossary_Sanskrit_Terms.pdf,113
Sarvatitavadi,Transcendentalist; one who argues that Truth is transcendental.,Glossary_Sanskrit_Terms.pdf,113
Sarvatmakatva,Universality; the state of being the soul of everything.,Glossary_Sanskrit_Terms.pdf,113
Sarvatva,State of being everything.,Glossary_Sanskrit_Terms.pdf,113
Sarvatyaga,Renunciation of everything.,Glossary_Sanskrit_Terms.pdf,113
Sarvavit,All-knowing.,Glossary_Sanskrit_Terms.pdf,113
Sarvavyapi,All-pervading; omnipresent.,Glossary_Sanskrit_Terms.pdf,113
Sarvesvaratva,Supreme rulership over all.,Glossary_Sanskrit_Terms.pdf,113
Sarvopadanatva,The state of being the material cause of all.,Glossary_Sanskrit_Terms.pdf,113
Sarvosmi,I am all.,Glossary_Sanskrit_Terms.pdf,113
Sasmita,With the feeling of individuality or the egoistic feeling of “I exist” (a kind of Samadhi).,Glossary_Sanskrit_Terms.pdf,113
Sastra,Scripture; words of authority.,Glossary_Sanskrit_Terms.pdf,113
Sasvatapada,Everlasting abode.,Glossary_Sanskrit_Terms.pdf,113
Sat,Existence; being; reality; Truth.,Glossary_Sanskrit_Terms.pdf,113
Satavadhana,Doing or paying attention to one hundred things at a time.,Glossary_Sanskrit_Terms.pdf,113
Satkama,Pure desire (of a liberated sage); desire for Moksha.,Glossary_Sanskrit_Terms.pdf,113
Satkarma,Righteous action.,Glossary_Sanskrit_Terms.pdf,113
Satkaryavada,The doctrine which holds that the effect is,Glossary_Sanskrit_Terms.pdf,113
Satsamanya,Common substratum; homogeneous essence; Being; Brahman.,Glossary_Sanskrit_Terms.pdf,114
Satsanga,Association with the wise (good).,Glossary_Sanskrit_Terms.pdf,114
Satsankalpa,True resolve; pure desire; perfect will.,Glossary_Sanskrit_Terms.pdf,114
Sattasamanya,Homogeneous existence; Existence Absolute; Brahman.,Glossary_Sanskrit_Terms.pdf,114
Sattva,Light; purity; reality.,Glossary_Sanskrit_Terms.pdf,114
Sattvaguna,"Quality of light, purity and goodness.",Glossary_Sanskrit_Terms.pdf,114
Sattvagunapradhana,Sattva-prevailing; Sattva- predominating.,Glossary_Sanskrit_Terms.pdf,114
Sattvapatti,Fourth state of Jnana where there is an abundance of Sattva or purity and light.,Glossary_Sanskrit_Terms.pdf,114
Sattvasamsuddhi,Purity of heart; purity of feeling; increase of light and purity.,Glossary_Sanskrit_Terms.pdf,114
Satya,Truth; Brahman or the Absolute.,Glossary_Sanskrit_Terms.pdf,114
Satyakama,He who longs or desires for Truth.,Glossary_Sanskrit_Terms.pdf,114
Satyasankalpa,Pure will.,Glossary_Sanskrit_Terms.pdf,114
Satyatva,State of Truth.,Glossary_Sanskrit_Terms.pdf,114
Saucha,Purity (internal and external); cleanliness; one of the five Niyamas in Ashtanga Yoga.,Glossary_Sanskrit_Terms.pdf,114
Savayava,With limbs or members.,Glossary_Sanskrit_Terms.pdf,114
Savichara,With deliberation and reasoning or enquiry.,Glossary_Sanskrit_Terms.pdf,114
Savikalpa,With doubt and change.,Glossary_Sanskrit_Terms.pdf,114
Savikalpa-samadhi,"Samadhi with the triad of knower, knowledge and known.",Glossary_Sanskrit_Terms.pdf,114
Savisesha,With distinction; distinguished by qualities; associated with attributes.,Glossary_Sanskrit_Terms.pdf,114
Savisesha-brahman,Brahman with attributes; Saguna,Glossary_Sanskrit_Terms.pdf,114
Saviseshatva,Presence of distinctive attributes.,Glossary_Sanskrit_Terms.pdf,115
Savitarka,With logic and argumentation.,Glossary_Sanskrit_Terms.pdf,115
Savitarka-samadhi,Samadhi with argumentation.,Glossary_Sanskrit_Terms.pdf,115
Sayujya,Becoming one with God.,Glossary_Sanskrit_Terms.pdf,115
Sesha,Balance; remainder.,Glossary_Sanskrit_Terms.pdf,115
Seva,Service.,Glossary_Sanskrit_Terms.pdf,115
Shad-ayatana,The abode of the six (senses).,Glossary_Sanskrit_Terms.pdf,115
Shad-darsana,"Six systems of thought; six philosophies of the Hindus, viz., Nyaya, Vaiseshika, Sankhya, Yoga, Mimamsa, and Vedanta.",Glossary_Sanskrit_Terms.pdf,115
Shad-linga,"Six lingas or signs of a perfect exposition or a text viz., 1. Upakranza-Upasarnhara-Ekavakyata (unity of thought in the beginning as well as in the end), 2. Ahhyasa (reiteration or repetition), 3. Apurvata (novelty or uncom- mon nature of the proof), 4. Phala (fruit of the teaching), 5. Arthavada (eulogy, praise or persuasive expression) and 6. Upapatti (illustration). Some consider Yukti (reason) as the sixth sign instead of Upapatti.",Glossary_Sanskrit_Terms.pdf,115
Shad-urmi,"Six waves, viz., grief, delusion, hunger, thirst, decay and death.",Glossary_Sanskrit_Terms.pdf,115
Shad-vikara,"Six modifications of the body, viz., existence, birth, growth, change, decay and death.",Glossary_Sanskrit_Terms.pdf,115
Shatchakranirupana,Investigation into or ascertainment of the six Chakras.,Glossary_Sanskrit_Terms.pdf,115
Shat-karma,"Cleaning processes in Hatha Yoga, viz., Neti, Dhauti, Nauli, Basti, Kapalabhati and Trataka.",Glossary_Sanskrit_Terms.pdf,115
Shat-sampat,"Sixfold wealth, viz., Sama, Dama, Uparati, Titiksha, Sraddha and Samadhana.",Glossary_Sanskrit_Terms.pdf,115
Shodasi,A particular aspect of Goddess conceived of in a,Glossary_Sanskrit_Terms.pdf,115
Siddha,Realised; perfected; a perfected Yogi.,Glossary_Sanskrit_Terms.pdf,116
Siddhanta,Established tenet or doctrine.,Glossary_Sanskrit_Terms.pdf,116
Siddhantavakhyasravana,"Hearing of scriptural conclusions or established truths, as by study of Vedanta; coming to the ultimate right conclusion.",Glossary_Sanskrit_Terms.pdf,116
Siddhasana,A meditative posture.,Glossary_Sanskrit_Terms.pdf,116
Siddhi,Perfection; psychic power.,Glossary_Sanskrit_Terms.pdf,116
Siksha,Phonetics; instruction; teaching.,Glossary_Sanskrit_Terms.pdf,116
Sirovrata,Vow of the head; a vow in which fire is carried on the head or in which the head is shaven; Sannyasa.,Glossary_Sanskrit_Terms.pdf,116
Sirshasana (or Sirasasana),Topsy-turvy pose; king of Asanas; the headstand of the Hatha Yogins.,Glossary_Sanskrit_Terms.pdf,116
Sivapada,The state of Lord Siva; blessedness. Sivo’ham: I am Siva.,Glossary_Sanskrit_Terms.pdf,116
Sloka,Verse of praise; a verse generally consisting of 32 letters.,Glossary_Sanskrit_Terms.pdf,116
Smarana,Remembrance.,Glossary_Sanskrit_Terms.pdf,116
Smarta,Pertaining to or enjoined by the Smriti.,Glossary_Sanskrit_Terms.pdf,116
Smriti,Memory; code of law.,Glossary_Sanskrit_Terms.pdf,116
Smritihetu,Cause of memory.,Glossary_Sanskrit_Terms.pdf,116
Sneha,Adhesiveness; friendship.,Glossary_Sanskrit_Terms.pdf,116
Sodhana,"Cleansing, by the six processes or Shatkarmas, (the first part of Hatha Yoga).",Glossary_Sanskrit_Terms.pdf,116
Soka,Grief. So’kamayata: He (God) desired.,Glossary_Sanskrit_Terms.pdf,116
Soshana,Drying.,Glossary_Sanskrit_Terms.pdf,116
Spanda,Movement; vibration.,Glossary_Sanskrit_Terms.pdf,116
Spandabhasa,Reflection of vibration or movement.,Glossary_Sanskrit_Terms.pdf,117
Spandavastha,State of vibration or motion.,Glossary_Sanskrit_Terms.pdf,117
Sparsa,Touch; feeling with skin.,Glossary_Sanskrit_Terms.pdf,117
Sparsana,Touching.,Glossary_Sanskrit_Terms.pdf,117
Sparsatanmatra,The essence of the sense of touch.,Glossary_Sanskrit_Terms.pdf,117
Sphota,Manifestor; the idea which bursts or flashes on the mind when a sound is uttered; the impression produced on the mind on hearing a sound.,Glossary_Sanskrit_Terms.pdf,117
Sphurana,Throbbing or breaking; bursting forth; vibration.,Glossary_Sanskrit_Terms.pdf,117
Spriha,Desire; hankering.,Glossary_Sanskrit_Terms.pdf,117
Sraaddha,An annual ceremony when oblations are offered to the manes.,Glossary_Sanskrit_Terms.pdf,117
Sraddha,Faith.,Glossary_Sanskrit_Terms.pdf,117
Srauta,Pertaining to or enjoined by the Sruti.,Glossary_Sanskrit_Terms.pdf,117
Sravana,Hearing of the Srutis or scriptures; ear.,Glossary_Sanskrit_Terms.pdf,117
Sreyas,Good; blessedness; Moksha.,Glossary_Sanskrit_Terms.pdf,117
Sri,Goddess Lakshmi; wealth; prosperity.,Glossary_Sanskrit_Terms.pdf,117
Srishti,Creation.,Glossary_Sanskrit_Terms.pdf,117
Srishti-bheda,"Difference in creation, i.e., one ego is the result of the predominance of Sattva, another of Rajas, and a third of Tamas, etc.",Glossary_Sanskrit_Terms.pdf,117
Srishti-kalpana,Creative ideation.,Glossary_Sanskrit_Terms.pdf,117
Srishtisthitilaya (samhara),"Creation, preservation and destruction or absorption.",Glossary_Sanskrit_Terms.pdf,117
Srishti-unmukha,Ready or prone to create.,Glossary_Sanskrit_Terms.pdf,117
Sruti,The Vedas; the revealed scriptures of the Hindus; that which has been heard; ear.,Glossary_Sanskrit_Terms.pdf,117
Srotra,Ear; organ of hearing.,Glossary_Sanskrit_Terms.pdf,117
Srutipradhana,Superiority or the supremacy of the Srutis,Glossary_Sanskrit_Terms.pdf,117
Srutipramana,Testimony or proof based on the Veda.,Glossary_Sanskrit_Terms.pdf,118
Stabdhavastha,Stunned state of the mind wherein its movements are arrested; this is a negative state which is an obstacle in meditation.,Glossary_Sanskrit_Terms.pdf,118
Stambhana,Arresting; stopping.,Glossary_Sanskrit_Terms.pdf,118
Sthanumanushya,Man in the post; a simile used to describe false superimposition due to wrong imagination.,Glossary_Sanskrit_Terms.pdf,118
Sthavara,Immovable; immobile; stationary.,Glossary_Sanskrit_Terms.pdf,118
Sthirata,"Steadiness or firmness either of mind through concentration or of body through Asanas, Mudras, etc.",Glossary_Sanskrit_Terms.pdf,118
Sthitaprajna,He who is unshakably established in superconsciousness.,Glossary_Sanskrit_Terms.pdf,118
Sthiti,Steadiness; condition or state; existence; being; subsistence; preservation.,Glossary_Sanskrit_Terms.pdf,118
Sthulabuddhi,Gross intellect.,Glossary_Sanskrit_Terms.pdf,118
Sthulasamadhi,The state of Samadhi which is of a Jada type in which there is no intuitive awareness.,Glossary_Sanskrit_Terms.pdf,118
Sthulasarira,Gross body; physical body.,Glossary_Sanskrit_Terms.pdf,118
Sthulavairagya,Gross dispassion; dispassion or renunciation of a lower type.,Glossary_Sanskrit_Terms.pdf,118
Sthula-avidya,Gross ignorance that envelopes all objects.,Glossary_Sanskrit_Terms.pdf,118
Stuti,Praise; glorification.,Glossary_Sanskrit_Terms.pdf,118
Subha,Auspicious; blessed.,Glossary_Sanskrit_Terms.pdf,118
Subhavasana,Pure desire or tendency; good impression of the past.,Glossary_Sanskrit_Terms.pdf,118
Subheccha,Good desire; right aspiration to cross Samsara; the first Jnana-bhumika or stage of knowledge.,Glossary_Sanskrit_Terms.pdf,118
Suchi,Pure; untainted.,Glossary_Sanskrit_Terms.pdf,118
Suddha,Pure; clear; clean; untainted.,Glossary_Sanskrit_Terms.pdf,118
Suddhabhakti,Pure devotion to God.,Glossary_Sanskrit_Terms.pdf,119
Suddhabhavana,Pure feeling or attitude.,Glossary_Sanskrit_Terms.pdf,119
Suddhabrahma,"Pure Brahman, free from Maya; Nirguna Brahman.",Glossary_Sanskrit_Terms.pdf,119
Suddhakalpana,Pure imagination (as that of “I am Brahman”.),Glossary_Sanskrit_Terms.pdf,119
Suddhamanas,Pure mind.,Glossary_Sanskrit_Terms.pdf,119
Suddhaprema,Pure love; divine love devoid of carnality.,Glossary_Sanskrit_Terms.pdf,119
Suddhasankalpa,Pure resolve.,Glossary_Sanskrit_Terms.pdf,119
Suddhavichara,Pure enquiry into the nature of Brahman.,Glossary_Sanskrit_Terms.pdf,119
Sudra,Of the fourth Varna or caste; of the servant class.,Glossary_Sanskrit_Terms.pdf,119
Sugamata,The faculty of reproducing the passage after reading it once or a few times.,Glossary_Sanskrit_Terms.pdf,119
Sugupta,Well-concealed; very secret.,Glossary_Sanskrit_Terms.pdf,119
Sukha,Pleasure; happiness; joy.,Glossary_Sanskrit_Terms.pdf,119
Sukhachintana,Thought of happiness; happy thinking.,Glossary_Sanskrit_Terms.pdf,119
Sukhi,One who is happy.,Glossary_Sanskrit_Terms.pdf,119
Sukla,Semen; white.,Glossary_Sanskrit_Terms.pdf,119
Sukrita,Good act; merit.,Glossary_Sanskrit_Terms.pdf,119
Sukshma,Fine; subtle; invisible; belonging to a subtler order of existence than the physical.,Glossary_Sanskrit_Terms.pdf,119
Sukshmabhuta,Tanmatra; subtle essence or state of elements.,Glossary_Sanskrit_Terms.pdf,119
Sukshmadarsi,Seer of the subtle essence of things; one who has developed the subtle inner eye; a man of wisdom; a sage.,Glossary_Sanskrit_Terms.pdf,119
Sukshmadhyana,Subtle type of meditation such as on abstract ideas.,Glossary_Sanskrit_Terms.pdf,119
Suktika-raj ata,"Silver-in-the-mother-of-pearl, an example of superimposition where one thing is wrongly taken for",Glossary_Sanskrit_Terms.pdf,119
Sulohita,Very red.,Glossary_Sanskrit_Terms.pdf,120
Sundara,Beautiful.,Glossary_Sanskrit_Terms.pdf,120
Sunya,Void; nothingness; zeroness; vacuity; nullity.,Glossary_Sanskrit_Terms.pdf,120
Sunyavada,Doctrine of nihilism; doctrine of non-existence of anything.,Glossary_Sanskrit_Terms.pdf,120
Sunyavadi,Nihilist; a follower of Nagarjuna.,Glossary_Sanskrit_Terms.pdf,120
Suryanadi,"Another name for the psychic nerve, Pingala.",Glossary_Sanskrit_Terms.pdf,120
Sushka,Dry; essenceless.,Glossary_Sanskrit_Terms.pdf,120
Sushumna,"The important psychic nerve current that passes through the spinal column from the Muladhara to the Sahasrara or the thousand-petalled lotus, through which the Kundalini is made to rise through the Yoga process.",Glossary_Sanskrit_Terms.pdf,120
Sushupti,Deep sleep without dreams.,Glossary_Sanskrit_Terms.pdf,120
Susila,"He whose nature is purified, i.e., the man who regularly practises Yama and so forth and has trained himself.",Glossary_Sanskrit_Terms.pdf,120
Sutra,Thread; string; an aphorism with minimum words and maximum sense; a terse sentence.,Glossary_Sanskrit_Terms.pdf,120
Sutradhara,The holder of the string; Hiranyagarbha or the Lord of the universe.,Glossary_Sanskrit_Terms.pdf,120
Sutratma,The immanent deity of the totality of the subtle bodies; the lower Brahman; Hiranyagarbha.,Glossary_Sanskrit_Terms.pdf,120
Suvichara,Right enquiry.,Glossary_Sanskrit_Terms.pdf,120
Svabhava,One’s own nature or potentiality; innate nature.,Glossary_Sanskrit_Terms.pdf,120
Svaccha,Pure; transparent; clean.,Glossary_Sanskrit_Terms.pdf,120
Svadha,Offerings made to the manes; an exclamation made when offering oblations to the manes.,Glossary_Sanskrit_Terms.pdf,120
Svadharma,One’s own prescribed duty in life according to,Glossary_Sanskrit_Terms.pdf,120
Svadhisthana,The second of the six Chakras according to Hatha Yoga.,Glossary_Sanskrit_Terms.pdf,121
Svadhyaya,"Study of religious scriptures, especially the Vedas.",Glossary_Sanskrit_Terms.pdf,121
Svagatabheda,"Intrinsic difference as the difference between waves, eddies, etc., in a mass of water; the difference between parts like hands, legs, head, feet, etc., in a person; difference between fruit, flower, twigs, leaves, etc., in a tree; that by which one part of a substance is discriminated from another.",Glossary_Sanskrit_Terms.pdf,121
Svaha,An oblation or offering made to gods; an exclamation used in offering oblations to gods.,Glossary_Sanskrit_Terms.pdf,121
Svajatiyavrittipravaha,"The constant flow of the idea of one’s own essential state, i.e., of the idea of “I am Brahman”.",Glossary_Sanskrit_Terms.pdf,121
Svamahimapratishthita,One who is established in or is dependent on his own greatness or glory.,Glossary_Sanskrit_Terms.pdf,121
Svanubhuti,Direct experience of one’s own Self TER’,Glossary_Sanskrit_Terms.pdf,121
Svapna,Dream; illusion.,Glossary_Sanskrit_Terms.pdf,121
Svapnakalpita,Imagined in a dream; dream creation.,Glossary_Sanskrit_Terms.pdf,121
Svapnamayasvarupa,Of the form of a dream illusion.,Glossary_Sanskrit_Terms.pdf,121
Svapnavastha,Dream state.,Glossary_Sanskrit_Terms.pdf,121
Svapnavat,Like a dream.,Glossary_Sanskrit_Terms.pdf,121
Svaprakasa,Self-luminous.,Glossary_Sanskrit_Terms.pdf,121
Svara,Sound; accent; tone.,Glossary_Sanskrit_Terms.pdf,121
Svarabhanga,Falling of the voice; choking of the voice; one of the marks of divine emotion.,Glossary_Sanskrit_Terms.pdf,121
Svarasadhana,Regulation of breath; a particular kind of Sadhana where the flow of breath is continuously watched,Glossary_Sanskrit_Terms.pdf,121
Svargaloka,Heaven-world; the celestial region.,Glossary_Sanskrit_Terms.pdf,122
Svarupa,Essence; essential nature; the essential nature of Brahman; Reality; Satchidananda; True Nature of Being.,Glossary_Sanskrit_Terms.pdf,122
Svarupadhyana,"Meditation on the Reality, i.e., on one’s own essential nature.",Glossary_Sanskrit_Terms.pdf,122
Svarupajnana,"Knowledge of one’s essential nature; knowledge of pure consciousness, which is the highest end of life.",Glossary_Sanskrit_Terms.pdf,122
Svarupalakshana,Definition of the essential nature of Brahman; Satchidananda or Existence-ConsciousnessBliss Absolute.,Glossary_Sanskrit_Terms.pdf,122
Svarupanyathabhava,Being other than one’s own real nature.,Glossary_Sanskrit_Terms.pdf,122
Svarupapratishtha,Being established in one’s own Self.,Glossary_Sanskrit_Terms.pdf,122
Svarupasambandha,Connection with one’s own essential nature.,Glossary_Sanskrit_Terms.pdf,122
Svarupasthiti,Getting oneself firmly established in one’s own essential nature.,Glossary_Sanskrit_Terms.pdf,122
Svarupavastha,State of being one with Brahman; resting in the Absolute Reality or Brahman.,Glossary_Sanskrit_Terms.pdf,122
Svarupavisranti,Resting in one’s own essential nature.,Glossary_Sanskrit_Terms.pdf,122
Svasa,Breath.,Glossary_Sanskrit_Terms.pdf,122
Svatahsiddha,Self-proved; self-obtained or realised.,Glossary_Sanskrit_Terms.pdf,122
Svatantra,Independent.,Glossary_Sanskrit_Terms.pdf,122
Svatantrasattabhava,Possibility of independent existence.,Glossary_Sanskrit_Terms.pdf,122
Svatantratva,State of (Absolute) independence.,Glossary_Sanskrit_Terms.pdf,122
Svayam jyotih,Self-illumined; self-luminous.,Glossary_Sanskrit_Terms.pdf,122
